event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2023-05-01 00:55:00.000,2023-05-01 01:21:00.000,2023-05-01 01:29:00.000,M1.1,0
2023-05-01 13:02:00.000,2023-05-01 13:09:00.000,2023-05-01 13:13:00.000,M7.1,0
2023-05-03 09:15:00.000,2023-05-03 09:27:00.000,2023-05-03 09:33:00.000,M4.2,0
2023-05-03 10:03:00.000,2023-05-03 10:14:00.000,2023-05-03 10:19:00.000,M3.1,0
2023-05-03 10:36:00.000,2023-05-03 10:45:00.000,2023-05-03 10:49:00.000,M7.2,0
2023-05-03 12:24:00.000,2023-05-03 12:35:00.000,2023-05-03 12:41:00.000,M1.7,0
2023-05-03 13:43:00.000,2023-05-03 13:50:00.000,2023-05-03 13:54:00.000,M2.2,0
2023-05-04 08:05:00.000,2023-05-04 08:44:00.000,2023-05-04 09:08:00.000,M3.9,0
2023-05-05 07:30:00.000,2023-05-05 08:01:00.000,2023-05-05 08:33:00.000,M2.1,0
2023-05-05 15:18:00.000,2023-05-05 15:31:00.000,2023-05-05 15:39:00.000,M1.2,0
